,Unnamed: 0,id,name,price,mrp,variant,image_url,tags
160,160,TEAFVHBQ5NMA4EUJ, Tata Gold Care Tea Box, 112.0, 140.0, 250 g Box, https://rukminim1.flixcart.com/image/280/280/kkimfm80/tea/c/u/h/gold-care-box-flavored-tea-powder-tata-original-imafzuf2bzfg8mmu.jpeg,tata gold care tea box 112.0 140.0 250 g box
161,161,DAJET6XCUKPXGTBE, Minute Maid Pulpy Orange, 35.0, 35.0, 400 ml, https://rukminim1.flixcart.com/image/280/280/kp2y2kw0/drinks-juice/7/a/7/pulpy-orange-plastic-bottle-minute-maid-original-imag3efh6tevsafq.jpeg,minut maid pulpi orang 35.0 35.0 400 ml
162,162,DAJEUHCZFACYBSBP, Tropicana Mixed Fruit Delight, 82.0, 110.0, 1 L, https://rukminim1.flixcart.com/image/280/280/jsaocy80/drinks-juice/s/b/p/1-mixed-fruit-delight-tetrapack-tropicana-original-imaf3d9qhbsq4paq.jpeg,tropicana mix fruit delight 82.0 110.0 1 l
164,164,NDFEX88DF524HQTY, Flipkart Supermart Select Indian Raisins, 52.0, 80.0, 100 g, https://rukminim1.flixcart.com/image/280/280/k7285u80/nut-dry-fruit/q/t/y/100-indian-pouch-flipkart-supermart-select-original-imafpdsybxekz4df.jpeg,flipkart supermart select indian raisin 52.0 80.0 100 g
165,165,CHCF5PFC8MNQNJEH, Cadbury Dairy Milk Chocolate Bars, 100.0, 100.0, 130 g, https://rukminim1.flixcart.com/image/280/280/kigbjbk0/chocolate/j/e/h/130-dairy-milk-chocolate-cadbury-original-imafy8m6sxjzxy8r.jpeg,cadburi dairi milk chocol bar 100.0 100.0 130 g
166,166,CEPGYY4FECSYBJNU, winkies Cafe Select, 60.0, 60.0, 120 g, https://rukminim1.flixcart.com/image/280/280/klzhq4w0/cookie-biscuit/7/b/p/120-caf-select-cookie-n-cake-120g-veg-1-winkies-original-imagyzk5rvdwb5ys.jpeg,winki cafe select 60.0 60.0 120 g
168,168,TPSETEG67N6AJP5X, PEPSODENT Cavity Protection Toothpaste, 115.0, 128.0, 2x150 g, https://rukminim1.flixcart.com/image/280/280/kosxzm80/toothpaste/5/n/s/cavity-protection-pepsodent-original-imag36bdfzrhzqbh.jpeg,pepsod caviti protect toothpast 115.0 128.0 2x150 g
169,169,JGREU7NNNNUBZSZF, Organic Tattva Powder Powder Jaggery, 59.0, 80.0, 500 g, https://rukminim1.flixcart.com/image/280/280/kixgtjk0/jaggery/s/z/f/500-powder-powder-pouch-organic-tattva-original-imafym8srzgnrqec.jpeg,organ tattva powder powder jaggeri 59.0 80.0 500 g
170,170,PLSFRJK29QFRNB9D, Desi Choice Roasted Chana, 70.0, 85.0, 500 g, https://rukminim1.flixcart.com/image/280/280/kdeum4w0/pulses/b/9/d/500-bhuna-chana-chana-desi-choice-original-imafubhytvdgzvfg.jpeg,desi choic roast chana 70.0 85.0 500 g
172,172,LDTF6Y53EJ4TWGXZ, Surf excel Matic Top Load Liquid Detergent, 340.0, 380.0, 2 L, https://rukminim1.flixcart.com/image/280/280/jk8lz0w0/laundry-detergent/g/x/z/2-matic-top-load-liquid-surf-excel-original-imaf7mm5bnzzfbyk.jpeg,surf excel matic top load liquid deterg 340.0 380.0 2 l
173,173,RICEUC2Y2FPTSNU9, Daawat Rozana Super Basmati Rice (Medium Grain), 309.0, 390.0, 5 kg, https://rukminim1.flixcart.com/image/280/280/kj61gnk0-0/rice/l/v/p/5-rozana-super-white-bag-basmati-rice-daawat-original-imafyscgjrc63rum.jpeg,daawat rozana super basmati rice (medium grain) 309.0 390.0 5 kg
174,174,SPPF6QKUHVVCP5A7, STAYFREE Secure Cottony XL Wings Sanitary Pad, 209.0, 220.0, 40 Units, https://rukminim1.flixcart.com/image/280/280/kbfeljk0/sanitary-pad-pantyliner/5/a/7/secure-cottony-xl-wings-xl-40-sanitary-pad-stayfree-original-imafsrwgzdpd4uyp.jpeg,stayfre secur cottoni xl wing sanitari pad 209.0 220.0 40 unit
176,176,CKBFUG5UVWDSMVGC, Priyagold Italiano Cookies with Crunchy Chocochips, 35.0, 35.0, 75 g, https://rukminim1.flixcart.com/image/280/280/kkzrpu80/cookie-biscuit/3/1/q/italiano-priyagold-original-imagy7ffzyz6myyf.jpeg,priyagold italiano cooki with crunchi chocochip 35.0 35.0 75 g
177,177,PCPETZTZTHDJEGGT, ACT II Party Pack Butter Delite Popcorn, 108.0, 120.0, 2x120 g, https://rukminim1.flixcart.com/image/280/280/ki6bgcw0-0/popcorn/m/5/3/party-pack-microwave-act-ii-original-imafyf3vqk6fxsqn.jpeg,act ii parti pack butter delit popcorn 108.0 120.0 2x120 g
178,178,SCMEXBGHNKGC8XTZ, Flipkart Supermart Select Fenugreek (Methi), 34.0, 47.0, 200 g, https://rukminim1.flixcart.com/image/280/280/k70spzk0/spice-masala/x/t/z/200-fenugreek-methi-pouch-flipkart-supermart-select-whole-original-imafpck63dgpasdt.jpeg,flipkart supermart select fenugreek (methi) 34.0 47.0 200 g
180,180,SUGFB3AFFFQU3RTA, Sugarlite 50% Less Calories Sugar, 49.0, 99.0, 500 g Pouch, https://rukminim1.flixcart.com/image/280/280/kmwcuq80/sugar/4/m/k/50-less-calories-pouch-white-sugar-sugarlite-crystal-original-imagfzwgus8krhz9.jpeg,sugarlit 50% less calori sugar 49.0 99.0 500 g pouch
181,181,SAMFXMH6MGFKCFX2, AASHIRVAAD Instant Mix - Gulab Jamun 500 g, 110.0, 220.0, 500 g, https://rukminim1.flixcart.com/image/280/280/kj7gwi80/sweet-mithai/f/x/2/500-instant-mix-gulab-jamun-gulab-jamun-aashirvaad-original-imafytunx3te7tha.jpeg,aashirvaad instant mix - gulab jamun 500 g 110.0 220.0 500 g
182,182,FLRFFZRTD66QAJHB, AASHIRVAAD Atta with Multigrains, 551.0, 570.0, 10 kg, https://rukminim1.flixcart.com/image/280/280/ki96c280/flour/r/j/r/1-atta-with-multigrains-1-multigrain-flour-aashirvaad-original-imafy2vzhha44kgx.jpeg,aashirvaad atta with multigrain 551.0 570.0 10 kg
